Model Label,Model ID,Model Size,Developer,Prompts,Mean_Latency,Mean_Generated_Tokens,Mean_Response_Length,Mean_Tokens_per_Second,Mean_GPU_Peak_Memory_GB,Mean_CPU_Process_Memory_GB,Mean_BERTScore_F1,Mean_ROUGE_1,Mean_ROUGE_2,Mean_ROUGE_L,Mean_BLEU,Mean_Inference_Cost_Score
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,100,3.4498942464800098,89.33,64.46,25.955819525676308,7.184698715209961,2.9009475708007812,0.8719246,0.2643053628748852,0.07540677603057508,0.1901966889573236,0.02298787171165412,24.829317251614356
Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-Instruct-v0.3,7B,Mistral AI,100,4.863210700950044,123.22,90.89,25.339655666528866,13.531946496963501,3.497028121948242,0.8672232,0.22951878320831934,0.06572687809688425,0.16159991569749926,0.016220000474615796,65.81595072644699
Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,7B,Alibaba Cloud,100,3.960349847340035,109.22,86.0,27.564350875033096,14.2090638256073,3.5480830764770506,0.8620006,0.2300923042566506,0.06468210771300105,0.16438785378023638,0.01568767044104087,56.27505747587258
Google Gemma-2-2B-IT,google/gemma-2-2b-it,2B,Google,100,4.096153061959995,94.24,63.96,22.999910278544306,4.894006423950195,3.178922386169434,0.85216504,0.23550478362768598,0.06115631971658174,0.1700196239306785,0.015887956774980942,20.053445020120115
